#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  13  22 Al   2.20155   0.33155   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  13  23 Al   2.09460   0.30911   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  13  24 Al   2.00439   0.28675  -1.98143   0.83539  51  24  14   3  4.48800  0.51100  5.739E-03 *     0             2.349
  13  25 Al   1.92782   0.26476  -0.96354   0.69396  72  25   7   3  5.28500  0.94490  1.003E-02 *     0             2.161
  13  26 Al   1.86239   0.24402  -2.00131   0.76312 214  35  14   6  4.62238  1.85062  4.741E-03 *     0             2.331
  13  27 Al   1.80602   0.22575   0.02314   0.58928 246  24   7   3  5.82700  1.01456  1.191E-02 *     0             2.372
  13  28 Al   1.75694   0.21125  -1.79790   0.67339 120  35  16  13  4.51694  2.65630  4.658E-03 *     0             2.112
  13  29 Al   1.71363   0.20166  -0.26531   0.59656  50  31  11   5  5.73300  2.86570  6.071E-03 *     0             2.142
  13  30 Al   1.67470   0.19741  -1.33855   0.57941  34  26  14   3  4.81400  0.68752  4.087E-02 *     0             2.865
  13  31 Al   1.63890   0.19795   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  13  32 Al   1.60503   0.20168   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  13  33 Al   1.57199   0.20634   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  13  34 Al   1.53873   0.20949   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  35 Al   1.50426   0.20889   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  13  36 Al   1.46798   0.20309   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  37 Al   1.43040   0.19268   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  38 Al   1.39226   0.17902   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  39 Al   1.35425   0.16369   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  40 Al   1.31702   0.14827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  41 Al   1.28111   0.13430   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  42 Al   1.24705   0.12304   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  43 Al   1.21527   0.11529   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  22 Si   2.20155   0.33155   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  23 Si   2.09460   0.30911   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  24 Si   2.00439   0.28675   0.00000   1.00000   3   1   1   2  0.00000  1.87900                  0             0.000
  14  25 Si   1.92782   0.26476   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  14  26 Si   1.86239   0.24402   0.37727   0.62110  71  21   7   4  6.10100  3.33635  5.554E-03 *     0             2.055
  14  27 Si   1.80602   0.22575  -0.10478   0.59546 126  25   7   5  5.61300  2.64760  1.105E-02 *     0             2.360
  14  28 Si   1.75694   0.21125   3.65881   0.59442 300  31   7  17  9.92920  8.58871  6.182E-03 *     0             2.328
  14  29 Si   1.71363   0.20166   1.12110   0.58049  99  35   7   7  7.19700  4.07990  6.484E-03 *     0             2.338
  14  30 Si   1.67470   0.19741   1.77541   0.52483 151  25   7  19  7.25580  6.86520  1.054E-02 *     0             2.193
  14  31 Si   1.63890   0.19795   0.62354   0.61978  97  50   7   4  7.00800  2.31693  3.143E-03 *     0             1.619
  14  32 Si   1.60503   0.20168   1.84596   0.49825  60  18   7   4  6.24200  4.98390  1.491E-02 *     0             1.914
  14  33 Si   1.57199   0.20634   0.00000   1.00000   9   1   1   3  0.00000  1.43490                  0             0.000
  14  34 Si   1.53873   0.20949   0.00000   1.00000  10   1   1   2  0.00000  3.32714                  0             0.000
  14  35 Si   1.50426   0.20889  -1.06825   0.45468  21  11   7   1  2.37700  0.00000  6.682E-02   F   0             1.989
  14  36 Si   1.46798   0.20309   0.00000   1.00000   4   1   1   2  0.00000  1.40800                  0             0.000
  14  37 Si   1.43040   0.19268   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  14  38 Si   1.39226   0.17902   0.00000   1.00000   7   1   1   2  0.00000  1.07400                  0             0.000
  14  39 Si   1.35425   0.16369   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  14  40 Si   1.31702   0.14827   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  14  41 Si   1.28111   0.13430   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  14  42 Si   1.24705   0.12304   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  14  43 Si   1.21527   0.11529   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  44 Si   1.18617   0.11117   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  45 Si   1.16011   0.11005   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  24 P    2.00439   0.28675   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  25 P    1.92782   0.26476   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
